index,name,keyword
01,RA,ENLIGHTENING
02,AMON-RA,CREATION
03,SHU,ORDER AND PEACE
04,NUT,UNDERSTANDING
05,GEB,PROSPERITY
06,OSIRIS,DEATH AND REBIRTH
07,ISIS,FAITH AND WISDOM
08,SETH,RESENTMENT
09,HORUS,STABILITY AND EQUILIBRIUM
10,NEFHTI,MEDITATION
11,ANUBIS,TRANSFORMATION
12,THOT,WHOLENESS
13,MAAT,TRUTH AND FAIRNESS
14,HATOR,INTELLIGENCE
15,PTAH,SKILL
16,BASTET,PASSION
17,SEKHMET,JUSTICE
18,KHEPRI,CHANGE
19,MUT,BEING ORDINARY
20,KHONSU,HERMITAGE
21,KHNUM,RESOURCEFULNESS
22,ANUKET,HOPE
23,SOBEK,UNION AND POWER
24,TAWERET,GENESIS
25,HAPY,RENEWAL
26,NEITH,PERSEVERANCE
27,SATET,FRUITFULNESS
28,HUH,EXPLORATION
29,HEKA,ALCHEMICAL FORCE
30,AMMUT,DEVASTATION
31,SESHAT,WISDOM
32,MERTSEGER,RIGHTEOUSNESS
33,SELKIS,HEALING
34,APOPHIS,DARKNESS
35,MEHEN,PROTECTION
36,NEFERTUM,COMPLETENESS
